number,title,summary
1,DesktopAppShell + Theme Foundation,"Create the Windows/Linux desktop-only app shell with 4 columns, custom title bar placeholder, light/dark design token foundation, no mobile layout."
2,Mock Data + TypeScript Types,Create typed mock community/channel/message/member data so the MVP UI works without backend.
3,ServerRail,"Build the fixed 72px left rail with home, community icons, active state, add/discover/settings placeholders, tooltips and context menu placeholder."
4,CommunitySidebar,"Build the 260px community sidebar with header, collapsible channel categories, channel items, and pinned UserMiniCard."
5,ChatHeader + ChatMain Shell,"Create the flexible center chat shell with fixed header, independent scroll area and pinned composer placeholder."
6,MessageList + MessageItem,"Render active channel messages with avatar, author, timestamp, text, attachments placeholder, reactions and hover actions."
7,AttachmentGrid,Implement 1/2/3/4 image attachment layouts and image preview modal placeholder.
8,MessageComposer,"Implement local message sending, Enter/Shift+Enter behavior, buttons and pinned rounded composer."
9,MemberSidebar,"Build the 280px right member panel with search, groups, member rows, status dots and profile popover trigger."
10,UserProfilePopover,"Create desktop profile popover for member/message avatar clicks with avatar, roles, bio and action buttons."
11,DesktopContextMenu,Create reusable right-click menu for server/channel/message/member items with bounds handling.
12,Keyboard Shortcuts,"Add MVP shortcuts such as Ctrl+K, Ctrl+, Escape, Alt Up/Down and composer Enter behavior."
13,Final Visual Polish for Base UI,"Polish frame, spacing, shadows, typography, active/hover/focus states, light/dark modes and reference quality."
14,Desktop Settings Modal,Create desktop settings modal with left nav and appearance/notifications/voice/shortcuts/advanced placeholders.
15,WindowTitleBar + Window Controls,"Implement custom desktop title bar with app name, search hint, theme toggle and safe window control placeholders."
16,Desktop Service Layer,"Create safe abstraction services for window, notification, tray, file, shortcut and settings APIs."
17,Native Notification Foundation,Prepare desktop notification service/settings/test button without crashing when native APIs are unavailable.
18,System Tray Foundation,Prepare tray service and simulated tray actions for status/mute/open/settings/quit.
19,File Drag/Drop + Clipboard Placeholder,"Prepare drag/drop overlay, attachment previews, file validation and clipboard image placeholder for composer."
20,Global Search Modal,Build Ctrl+K desktop search/command-palette placeholder over communities/channels/members/messages.
21,Desktop Auth UI,Create login/register/forgot-password desktop screens with mock auth and logout.
22,Backend API Service Layer,Create frontend API service modules and typed apiClient boundaries without replacing mock data yet.
23,Community CRUD UI,Create local/mock create/edit/leave community UI connected to ServerRail.
24,Channel CRUD UI,Create local/mock create/edit/delete channel UI and active-channel fallback.
25,Realtime Messaging Foundation,"Prepare realtime client/event abstractions, connection status and optimistic send flow placeholder."
26,Message Edit/Delete/Reactions,Add local edit/delete/reaction behavior using existing MessageItem/context actions.
27,Roles and Permissions Foundation,Create typed role/permission helpers and hide/disable unauthorized UI actions.
28,Voice Channel Desktop Skeleton,Show VoiceRoomView for voice channels with join/leave/mute/deafen placeholders.
29,Local Settings Persistence,"Persist theme, sidebar visibility, last active community/channel and notification settings locally."
