num,title,phase,priority,notes
1,Backup current project and initialize Git baseline,"A. Safety, scope, recovery",P0,
2,"Execution rules: one task at a time, test and commit","A. Safety, scope, recovery",P0,
3,Full scope definition: Electron desktop + Supabase + LiveKit + production roadmap,"A. Safety, scope, recovery",P0,
4,Compare legacy 001-260 task pack with the new master plan,"A. Safety, scope, recovery",P0,
5,"Platform direction: Windows, Linux, macOS Electron desktop app","A. Safety, scope, recovery",P0,
6,Reference image UI design direction and originality rules,"A. Safety, scope, recovery",P0,
7,Supabase-first backend architecture decision,"A. Safety, scope, recovery",P0,
8,LiveKit/WebRTC voice and screen share architecture decision,"A. Safety, scope, recovery",P0,
9,"License and branding guardrails: no Discord assets, Coolicons attribution","A. Safety, scope, recovery",P0,
10,Read-only project audit before coding,"A. Safety, scope, recovery",P0,
11,Create docs/project-scope.md,"A. Safety, scope, recovery",P0,
12,Create docs/architecture-overview.md,"A. Safety, scope, recovery",P0,
13,Create docs/development-workflow.md,"A. Safety, scope, recovery",P0,
14,Create docs/risk-register.md,"A. Safety, scope, recovery",P1,
15,Create docs/decision-log.md,"A. Safety, scope, recovery",P1,
16,Create Electron + Vite + React + TypeScript app foundation,B. Electron foundation,P0,
17,Configure Electron main process,B. Electron foundation,P0,
18,Configure Electron preload bridge with contextIsolation,B. Electron foundation,P0,
19,Configure renderer entry point,B. Electron foundation,P0,
20,Configure package scripts for electron:dev and build,B. Electron foundation,P0,
21,Set default window size 1440x900 and min size 1100x700,B. Electron foundation,P0,
22,Create safe windowService abstraction,B. Electron foundation,P0,
23,Create platformService runtime detection,B. Electron foundation,P0,
24,"Add macOS, Windows, Linux runtime labels",B. Electron foundation,P1,
25,Add safe IPC channel whitelist,B. Electron foundation,P0,
26,Add app config and brand config,B. Electron foundation,P0,
27,Create placeholder app icon assets,B. Electron foundation,P1,
28,Configure environment variables for desktop app,B. Electron foundation,P0,
29,Create desktop startup error boundary,B. Electron foundation,P1,
30,Electron dev mode smoke test,B. Electron foundation,P0,
31,Create DesktopAppShell four-column layout,C. Premium desktop UI shell,P0,
32,Create custom WindowTitleBar,C. Premium desktop UI shell,P0,
33,Create design token CSS variables,C. Premium desktop UI shell,P0,
34,Create light theme,C. Premium desktop UI shell,P0,
35,Create dark theme,C. Premium desktop UI shell,P0,
36,Create ThemeToggle and theme persistence placeholder,C. Premium desktop UI shell,P0,
37,Create rounded premium app frame,C. Premium desktop UI shell,P0,
38,Add minimum desktop width warning,C. Premium desktop UI shell,P0,
39,Prevent horizontal overflow,C. Premium desktop UI shell,P0,
40,Prepare independent scroll containers,C. Premium desktop UI shell,P0,
41,Create ServerRail placeholder,C. Premium desktop UI shell,P0,
42,Create CommunitySidebar placeholder,C. Premium desktop UI shell,P0,
43,Create ChatMain placeholder,C. Premium desktop UI shell,P0,
44,Create MemberSidebar placeholder,C. Premium desktop UI shell,P0,
45,UI shell resize QA,C. Premium desktop UI shell,P0,
46,Audit current icon usage read-only,D. Coolicons icon system,P0,
47,Add Coolicons attribution to THIRD_PARTY_NOTICES.md,D. Coolicons icon system,P0,
48,Add free Coolicons source policy,D. Coolicons icon system,P0,
49,Create AppIcon component,D. Coolicons icon system,P0,
50,Create semantic icon registry,D. Coolicons icon system,P0,
51,Map MVP UI icons to Coolicons,D. Coolicons icon system,P0,
52,Replace WindowTitleBar icons with AppIcon,D. Coolicons icon system,P0,
53,Replace ServerRail icons with AppIcon,D. Coolicons icon system,P0,
54,Replace CommunitySidebar icons with AppIcon,D. Coolicons icon system,P0,
55,Replace ChatHeader icons with AppIcon,D. Coolicons icon system,P0,
56,Replace MessageComposer icons with AppIcon,D. Coolicons icon system,P0,
57,Replace MemberSidebar icons with AppIcon,D. Coolicons icon system,P0,
58,Replace overlay/context menu icons with AppIcon,D. Coolicons icon system,P1,
59,Add aria-label rules for icon buttons,D. Coolicons icon system,P0,
60,Run Coolicons build and visual QA,D. Coolicons icon system,P0,
